,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode,na
425,13,1,Bonobo,We Could Forever,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,2y1cW84gbL4ghBD2HwcQ3x,Black Sands,4.33065,116.955,0.885,0.669,0.636,7,4,0.0181,0.88,0,False
426,14,1,Bonobo,Flashlight,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,0CPEvRFKdvpK0veEeY56T6,Flashlight EP,5.501483333333334,119.905,0.95,0.679,0.0495,0,4,0.0707,0.948,1,False
427,15,1,Bonobo,El Toro (Drum Solo + Sax Solo + Jam),2014-11-20 - Bonobo (Live PA) @ Boiler Room London,,,,,,,,,,,,,True
428,16,1,Bonobo Feat. Szjerdene,Transits,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,0ewtFuJlY7pxdg4lzCXeQV,The North Borders,4.34185,130.086,0.686,0.668,0.205,4,4,0.424,0.586,0,False
429,17,1,Bonobo,Know You,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,7rF2bHXc5wa3hM3114pppm,The North Borders,4.088116666666667,126.995,0.702,0.734,0.168,3,4,0.047,0.669,0,False
430,18,1,Bonobo Feat. Cornelia,Pieces,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,,,,,,,,,,,,,True
431,19,1,Bonobo Feat. Andreya Triana,The Keeper,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,5hmf3hRQMaDIWuZT1zX3ue,Black Sands,4.81555,85.052,0.57,0.776,0.414,5,4,0.228,0.184,0,False
432,20,1,Bonobo,Black Sands,2014-11-20 - Bonobo (Live PA) @ Boiler Room London,6uoM7KHsyJsHZqBQHKjQbc,Black Sands,6.816,87.989,0.499,0.525,0.338,0,3,0.732,0.936,0,False
501,1,1,Louiz Banks,Song For My Lady,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",,,,,,,,,,,,,True
502,2,1,Mammal Hands,Kandaiki,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",1jsnIb8rHk5GgsN3oUNB6O,Animalia,5.261066666666666,92.403,0.423,0.418,0.609,10,4,0.748,0.916,0,False
503,3,1,Holy Forest,Africa Calling,"2015-12-18 - Bonobo - Outlier Radio 001, NTS Radio",60lqD2feVf0gw36nreA2E1,Holy Forest,3.9782166666666665,119.83,0.653,0.495,0.93,0,4,0.24,2.05e-06,0,False
